Id,Prediction
31,24-26
32,24-26
33,24-26
34,24-26
35,24-26
36,24-26
37,24-26
38,24-26
39,24-26
310,24-26
311,24-26
312,24-26
313,24-26
314,24-26
315,24-26
316,24-26
317,24-26
318,24-26
319,24-26
320,24-26
321,24-26
322,24-26
323,24-26
324,24-26
325,24-26
326,24-26
327,24-26
328,24-26
329,24-26
330,24-26
331,24-26
332,24-26
333,24-26
334,24-26
335,24-26
336,24-26
337,24-26
338,24-26
339,24-26
340,24-26
341,24-26
342,24-26
343,24-26
344,24-26
345,24-26
346,24-26
347,24-26
348,24-26
349,24-26
350,24-26
351,24-26
352,24-26
353,24-26
354,24-26
355,24-26
356,24-26
357,24-26
358,24-26
359,24-26
360,24-26
361,24-26
362,24-26
363,24-26
364,24-26
365,24-26
366,24-26
367,24-26
368,24-26
369,24-26
370,24-26
371,24-26
372,24-26
373,24-26
374,24-26
375,24-26
376,24-26
377,24-26
378,24-26
379,24-26
380,24-26
381,24-26
382,24-26
383,24-26
384,24-26
385,24-26
386,24-26
387,24-26
388,24-26
389,24-26
390,24-26
391,24-26
392,24-26
393,24-26
394,24-26
395,24-26
396,24-26
397,24-26
398,24-26
399,24-26
3100,24-26
3101,24-26
3102,24-26
3103,24-26
3104,24-26
3105,24-26
3106,24-26
3107,24-26
3108,24-26
3109,24-26
3110,24-26
3111,24-26
3112,24-26
3113,24-26
3114,24-26
3115,24-26
3116,24-26
3117,24-26
3118,24-26
3119,24-26
3120,24-26
3121,24-26
3122,24-26
3123,24-26
3124,24-26
3125,24-26
3126,24-26
3127,24-26
3128,24-26
3129,24-26
3130,24-26
3131,24-26
3132,24-26
3133,24-26
3134,24-26
3135,24-26
3136,24-26
3137,24-26
3138,24-26
3139,24-26
3140,24-26
3141,24-26
3142,24-26
3143,24-26
3144,24-26
3145,24-26
3146,24-26
3147,24-26
3148,24-26
3149,24-26
3150,24-26
3151,24-26
3152,24-26
3153,24-26
3154,24-26
3155,24-26
3156,24-26
3157,24-26
3158,24-26
3159,24-26
3160,24-26
3161,24-26
3162,24-26
3163,24-26
3164,24-26
3165,24-26
3166,24-26
3167,24-26
3168,24-26
3169,24-26
3170,24-26
3171,24-26
3172,24-26
3173,24-26
3174,24-26
3175,24-26
3176,24-26
3177,24-26
3178,24-26
3179,24-26
3180,24-26
3181,24-26
3182,24-26
3183,24-26
3184,24-26
3185,24-26
3186,24-26
3187,24-26
3188,24-26
3189,24-26
3190,24-26
3191,24-26
3192,24-26
3193,24-26
3194,24-26
3195,24-26
3196,24-26
3197,24-26
3198,24-26
3199,24-26
3200,24-26
3201,24-26
3202,24-26
3203,24-26
3204,24-26
3205,24-26
3206,24-26
3207,24-26
3208,24-26
3209,24-26
3210,24-26
3211,24-26
3212,24-26
3213,24-26
3214,24-26
3215,24-26
3216,24-26
3217,24-26
3218,24-26
3219,24-26
3220,24-26
3221,24-26
3222,24-26
3223,24-26
3224,24-26
3225,24-26
3226,24-26
3227,24-26
3228,24-26
3229,24-26
3230,24-26
3231,24-26
3232,24-26
3233,24-26
3234,24-26
3235,24-26
3236,24-26
3237,24-26
3238,24-26
3239,24-26
3240,24-26
3241,24-26
3242,24-26
3243,24-26
3244,24-26
3245,24-26
3246,24-26
3247,24-26
3248,24-26
3249,24-26
3250,24-26
3251,24-26
3252,24-26
3253,24-26
3254,24-26
3255,24-26
3256,24-26
3257,24-26
3258,24-26
3259,24-26
3260,24-26
3261,24-26
3262,24-26
3263,24-26
3264,24-26
3265,24-26
3266,24-26
3267,24-26
3268,24-26
3269,24-26
3270,24-26
3271,24-26
3272,24-26
3273,24-26
3274,24-26
3275,24-26
3276,24-26
3277,24-26
3278,24-26
3279,24-26
3280,24-26
3281,24-26
3282,24-26
3283,24-26
3284,24-26
3285,24-26
3286,24-26
3287,24-26
3288,24-26
3289,24-26
3290,24-26
3291,24-26
3292,24-26
3293,24-26
3294,24-26
3295,24-26
3296,24-26
3297,24-26
3298,24-26
3299,24-26
3300,24-26
3301,24-26
3302,24-26
3303,24-26
3304,24-26
3305,24-26
3306,24-26
3307,24-26
3308,24-26
3309,24-26
3310,24-26
3311,24-26
3312,24-26
3313,24-26
3314,24-26
3315,24-26
3316,24-26
3317,24-26
3318,24-26
3319,24-26
3320,24-26
3321,24-26
3322,24-26
3323,24-26
3324,24-26
3325,24-26
3326,24-26
3327,24-26
3328,24-26
3329,24-26
3330,24-26
3331,24-26
3332,24-26
3333,24-26
3334,24-26
3335,24-26
3336,24-26
3337,24-26
3338,24-26
3339,24-26
3340,24-26
3341,24-26
3342,24-26
3343,24-26
3344,24-26
3345,24-26
3346,24-26
3347,24-26
3348,24-26
3349,24-26
3350,24-26
3351,24-26
3352,24-26
3353,24-26
3354,24-26
3355,24-26
3356,24-26
3357,24-26
3358,24-26
3359,24-26
3360,24-26
3361,24-26
3362,24-26
3363,24-26
3364,24-26
3365,24-26
3366,24-26
3367,24-26
3368,24-26
3369,24-26
3370,24-26
3371,24-26
3372,24-26
3373,24-26
3374,24-26
3375,24-26
3376,24-26
3377,24-26
3378,24-26
3379,24-26
3380,24-26
3381,24-26
3382,24-26
3383,24-26
3384,24-26
3385,24-26
3386,24-26
3387,24-26
3388,24-26
3389,24-26
3390,24-26
3391,24-26
3392,24-26
3393,24-26
3394,24-26
3395,24-26
3396,24-26
3397,24-26
3398,24-26
3399,24-26
3400,24-26
3401,24-26
3402,24-26
3403,24-26
3404,24-26
3405,24-26
3406,24-26
3407,24-26
3408,24-26
3409,24-26
3410,24-26
3411,24-26
3412,24-26
3413,24-26
3414,24-26
3415,24-26
3416,24-26
3417,24-26
3418,24-26
3419,24-26
3420,24-26
3421,24-26
3422,24-26
3423,24-26
3424,24-26
